xgb_correct,gpt_bl_correct,gpt_h_correct,gpt_mini_correct,gpt_mini_h_correct,n,pct
True,True,True,True,True,159,62.8%
False,True,True,True,True,45,17.8%
False,False,False,False,False,13,5.1%
True,False,False,False,False,9,3.6%
True,False,True,True,True,5,2.0%
True,True,True,False,False,4,1.6%
False,True,False,True,True,3,1.2%
True,False,True,False,True,3,1.2%
True,True,True,False,True,3,1.2%
False,False,False,True,False,1,0.4%
False,True,True,False,False,1,0.4%
False,True,True,False,True,1,0.4%
False,False,True,True,True,1,0.4%
False,True,False,False,False,1,0.4%
False,False,True,True,False,1,0.4%
True,False,False,True,True,1,0.4%
True,False,False,False,True,1,0.4%
True,True,False,True,True,1,0.4%
