true_subtype,sensitivity,model
I Ca (HVA),0.02164502164502169,XGB
I Ca (Rare),0.0,XGB
I Ca (T-type LT),0.0,XGB
I H,0.01632653061224487,XGB
I K (A-type),0.042735042735042694,XGB
I K (Ca-activated),0.0,XGB
I K (Delayed Rectifier),0.030303030303030276,XGB
I K (M-type),0.012345679012345734,XGB
I K (Rare),0.004132231404958664,XGB
I Na (Persistent),0.004048582995951455,XGB
I Na (Rare),0.004081632653061273,XGB
I Na (Slow inactivation),0.0,XGB
I Na (Transient),0.042735042735042694,XGB
I Other (Rare),0.004081632653061273,XGB
R GABA,0.024489795918367308,XGB
R Glutamate (AMPA),0.016129032258064502,XGB
R Glutamate (NMDA),0.020576131687242816,XGB
R Other (General),0.008000000000000007,XGB
Z Neither,0.037234042553191515,XGB
I Ca (HVA),0.008928571428571397,GPT
I Ca (Rare),0.012345679012345734,GPT
I Ca (T-type LT),0.0,GPT
I H,0.0,GPT
I K (A-type),0.0,GPT
I K (Ca-activated),0.0,GPT
I K (Delayed Rectifier),0.013392857142857095,GPT
I K (M-type),0.004237288135593209,GPT
I K (Rare),0.008510638297872353,GPT
I Na (Persistent),0.0,GPT
I Na (Rare),0.004201680672268893,GPT
I Na (Slow inactivation),0.0,GPT
I Na (Transient),0.03083700440528636,GPT
I Other (Rare),0.01680672268907568,GPT
R GABA,0.008403361344537785,GPT
R Glutamate (AMPA),0.004149377593360981,GPT
R Glutamate (NMDA),0.0,GPT
R Other (General),0.0,GPT
Z Neither,0.010810810810810811,GPT
I Ca (HVA),0.013513513513513487,GPT_H
I Ca (Rare),0.0,GPT_H
I Ca (T-type LT),0.0,GPT_H
I H,0.0,GPT_H
I K (A-type),0.0,GPT_H
I K (Ca-activated),0.004310344827586188,GPT_H
I K (Delayed Rectifier),0.018018018018018056,GPT_H
I K (M-type),0.0,GPT_H
I K (Rare),0.0,GPT_H
I Na (Persistent),0.0,GPT_H
I Na (Rare),0.0,GPT_H
I Na (Slow inactivation),0.0,GPT_H
I Na (Transient),0.03111111111111109,GPT_H
I Other (Rare),0.008438818565400852,GPT_H
R GABA,0.008474576271186418,GPT_H
R Glutamate (AMPA),0.0,GPT_H
R Glutamate (NMDA),0.0,GPT_H
R Other (General),0.0,GPT_H
Z Neither,0.010869565217391353,GPT_H
