true_subtype,sensitivity,model
I Ca (HVA),0.02164502164502169,XGB
I Ca (Rare),0.0,XGB
I Ca (T-type LT),0.0,XGB
I H,0.01632653061224487,XGB
I K (A-type),0.042735042735042694,XGB
I K (Ca-activated),0.0,XGB
I K (Delayed Rectifier),0.030303030303030276,XGB
I K (M-type),0.012345679012345734,XGB
I K (Rare),0.004132231404958664,XGB
I Na (Persistent),0.004048582995951455,XGB
I Na (Rare),0.004081632653061273,XGB
I Na (Slow inactivation),0.0,XGB
I Na (Transient),0.042735042735042694,XGB
I Other (Rare),0.004081632653061273,XGB
R GABA,0.024489795918367308,XGB
R Glutamate (AMPA),0.016129032258064502,XGB
R Glutamate (NMDA),0.020576131687242816,XGB
R Other (General),0.008000000000000007,XGB
Z Neither,0.037234042553191515,XGB
I Ca (HVA),0.008810572687224627,GPT
I Ca (Rare),0.008130081300813052,GPT
I Ca (T-type LT),0.004201680672268893,GPT
I H,0.0,GPT
I K (A-type),0.0,GPT
I K (Ca-activated),0.0,GPT
I K (Delayed Rectifier),0.017621145374449365,GPT
I K (M-type),0.004184100418409997,GPT
I K (Rare),0.0,GPT
I Na (Persistent),0.0,GPT
I Na (Rare),0.0,GPT
I Na (Slow inactivation),0.0,GPT
I Na (Transient),0.0304347826086957,GPT
I Other (Rare),0.016528925619834656,GPT
R GABA,0.012448132780082943,GPT
R Glutamate (AMPA),0.020491803278688492,GPT
R Glutamate (NMDA),0.0,GPT
R Other (General),0.0,GPT
Z Neither,0.016042780748663055,GPT
I Ca (HVA),0.008810572687224627,GPT_H
I Ca (Rare),0.0,GPT_H
I Ca (T-type LT),0.0,GPT_H
I H,0.0,GPT_H
I K (A-type),0.008695652173912993,GPT_H
I K (Ca-activated),0.0,GPT_H
I K (Delayed Rectifier),0.013215859030836996,GPT_H
I K (M-type),0.008368200836820106,GPT_H
I K (Rare),0.0,GPT_H
I Na (Persistent),0.0,GPT_H
I Na (Rare),0.0,GPT_H
I Na (Slow inactivation),0.0,GPT_H
I Na (Transient),0.017391304347826098,GPT_H
I Other (Rare),0.0,GPT_H
R GABA,0.008298755186721962,GPT_H
R Glutamate (AMPA),0.020491803278688492,GPT_H
R Glutamate (NMDA),0.0,GPT_H
R Other (General),0.0,GPT_H
Z Neither,0.032258064516129004,GPT_H
