original_type_label,original_subtype_label,robert_subtype_label,new_subtype_label,gpt_only
Exclude,Exclude - Not on Model DB,,Exclude,
Exclude,Exclude - Old Architecture,,Exclude,
Exclude,Exclude - Accumulation Mechanism,,Exclude,
I Ca,I Ca (R-Type),I R,I Ca (HVA),
I Ca,I Ca (P/Q-Type),"I Ca,p || I p,q",I Ca (HVA),
I Ca,I Ca (Q-Type),I Q	,I Ca (HVA),
I Ca,I Ca (HVA),,I Ca (HVA),
I Ca,I Ca (L-Type HT),I L high threshold,I Ca (HVA),
I Ca,I Ca (N-Type),I N,I Ca (HVA),
I Ca,I Ca (General),I Calcium	,I Ca (Rare),
I Ca,I Ca (Ca Pump),Ca pump,I Ca (Rare),
I Ca,I Ca (T-type LT),I T low threshold,I Ca (T-type LT),
I Cl,I Cl (General),I Chloride,I Cl ,
I Cl,I Cl (Leak),"I Cl, leak",I Cl ,
I H,I H (Hyperpolarization-Activated),I h,I H,
I K,I K (A-Type Transient),I A,I K (A-type),
I K,I K (A-Type Slow),"I A, slow",I K (A-type),
I K,I K (AHP),I_AHP,I K (Ca-activated),
I K,I K (ATP-Sensitive),ATP-senstive potassium current	,I K (Rare),
I K,I K (Ca-activated Bk),IK Bkca,I K (Ca-activated),
I K,I K (Ca-Activated - Sk),IK Skca,I K (Ca-activated),
I K,"I K (Ca-activated - General - BK, IK, SK, and I AHP currents)","I K,Ca",I K (Ca-activated),
I K,I K (C-type),I C	,I K (Ca-activated),
I K,I K (Delayed Rectifier),I K ,I K (Delayed Rectifier),
I K,I K (D-type),I_KD,I K (Rare),
I K,I K (hERG)	,I_HERG	,I K (Rare),
I K ,I K (Ultra Rapid Shaker-related Cardiac),,I K (Rare),
I K,"I K (IR, inactivating)","Kir, inactivating	",I K (Rare),
I K,I K (LT),I KLT || I_KLT	,I K (Rare),
I K,I K (General), I Potassium,I K (Rare),
I K,I K (HT),I_KHT,I K (Rare),
I K,I K (Resistent Persistent),,I K (Rare),
I K,I K (IR),Kir,I K (Rare),
I K,I K (Slow),"I K, I K,s || I Ks || I_Ks",I K (Rare),
I K,I Kx (Photoreceptor),,I K (Rare),
I K,I K (M-type),I M,I K (M-type),
I K,I K (CNQ1),KCNQ1,I K (M-type),
I K,I K (Leak),"I K,leak",I K (Leak),
I Na,I Na (General),I Sodium,I Na (Rare),
I Na,I Na (Leak),"I Na, leak",I Na (Leak),
I Na,I Na (Persistent),"I Na,p",I Na (Persistent),
I Na,I Na (Resurgent),,I Na (Rare),
I Na,I Na (Slow inactivation),"I Na, slow inactivation",I Na (Rare),
I Na,I Na (Transient),"I Na,t",I Na (Transient),
I Other,I Leak (General),,I Other (Rare),
I Other,I (Nonspecific Ca-Activated),I CAN,I Other (Rare),
I Other,I Other (CNG),I CNG	,I Other (Rare),
I Other,I Other (Channelrhodopsin),Channelrhodopsin (ChR),I Other (Rare),
I Other,I Other (Modulator-Activated),,I Other (Rare),
I Other,I Other (HCO3),I_HCO3	,I Other (Rare),
I Other,I Other (Na/K pump),Na/K pump,I Other (Transporter),
I Other,I Other (NKCC1 Transporter),NKCC1,I Other (Transporter),y
I Other,I Other (KCC2 transporter),KCC2,I Other (Transporter),
I Other,I Other (Na/Ca exchanger),Na/Ca exchanger,I Other (Transporter),
I Other,I Other (Na Glutamate),Na+-glutamate transporter,I Other (Transporter),y
I Other,I TRP (M4-subtype),I TRPM4        ,I Other (Rare),y
R GABA,R GABA (type A),GabaA,R GABA,
R GABA,R GABA (general),Gaba,R GABA,
R GABA,R GABA (type b),GabaB,R GABA,
R Glutamate,R Glutamate (AMPA),AMPA,R Glutamate (AMPA),
R Glutamate,R Glutamate (NMDA),NMDA,R Glutamate (NMDA),
R Glutamate,R Amino Acid (Glutamate),Glutamate,R Other (Rare),
R Glycine,R Amino Acid (Glycine),Glycine,R Other (Rare),
R Dopamine,R Dopamine (D1),D1,R Other (Rare),y
R Acetylcholine,R Acetylcholine (General), Cholinergic Receptors ,R Other (Rare),
R Glutamate,R Glutamate (Kainate),Kainate,R Other (Rare),y
R Sensory,R Sensory  (General),Sensory Receptors,R Other (Rare),y
R Other,R Other - IP3,IP3,R Other (Rare),y
Neither,Neither - Utility,,Z Neither,
Neither,Neither - Non-Neural,,Z Neither,
Neither,Neither - Clamp,,Z Neither,
Neither,Neither - Accumulation Mechanism,,Z Neither,
Neither,Neither - Localized Reactions,,Z Neither,
Neither,Neither - Artificial Cell,,Z Neither,
Neither,Neither - Gap Junction,,Z Neither,
