feature,dropped
new_subtype_label,False
states_count,False
clamp_yn,False
suffix_yn,False
point_process_yn,False
net_receive_yn,False
i_nonspecific_yn,False
not_ion_channel_yn,False
not_receptor_yn,False
has_mg_yn,False
volt_min,True
volt_max,False
has_include_yn,False
has_include_cap_yn,False
read_ca_i_yn,False
read_ca_o_yn,False
read_cl_i_yn,True
read_cl_o_yn,True
read_e_ca_yn,False
read_e_k_yn,False
read_e_na_yn,False
read_e_other_yn,False
read_i_cal_yn,False
read_i_cl_yn,True
read_i_k_yn,True
read_i_na_yn,False
read_i_other_yn,True
read_k_i_yn,False
read_k_o_yn,False
read_na_i_yn,False
read_na_o_yn,True
read_other_i_yn,True
read_other_o_yn,True
write_ca_i_yn,False
write_ca_o_yn,True
write_cl_i_yn,True
write_cl_o_yn,True
write_i_cal_yn,False
write_i_cl_yn,True
write_i_k_yn,False
write_i_na_yn,False
write_i_other_yn,False
write_k_i_yn,True
write_k_o_yn,True
write_na_i_yn,True
write_na_o_yn,True
write_other_i_yn,True
write_other_o_yn,True
write_unknown_yn,True
voltage_simfeat,True
v_interval1_time_to_90_max_simfeat,False
v_interval1_time_to_90_min_simfeat,True
v_interval1_time_min_to_90_max_simfeat,True
v_interval1_time_max_to_90_min_simfeat,True
v_interval1_initial_val_simfeat,False
v_interval1_max_val_simfeat,False
v_interval1_min_val_simfeat,True
v_interval2_time_to_90_recovery_simfeat,False
v_interval2_recovery_start_val_simfeat,False
v_interval2_final_val_simfeat,False
v_interval2_max_val_simfeat,True
v_interval2_min_val_simfeat,False
ik_interval1_time_to_90_max_simfeat,False
ik_interval1_time_to_90_min_simfeat,False
ik_interval1_time_min_to_90_max_simfeat,True
ik_interval1_time_max_to_90_min_simfeat,False
ik_interval1_initial_val_simfeat,True
ik_interval1_max_val_simfeat,False
ik_interval1_min_val_simfeat,False
ik_interval2_time_to_90_recovery_simfeat,False
ik_interval2_recovery_start_val_simfeat,True
ik_interval2_final_val_simfeat,True
ik_interval2_max_val_simfeat,False
ik_interval2_min_val_simfeat,False
ina_interval1_time_to_90_max_simfeat,False
ina_interval1_time_to_90_min_simfeat,False
ina_interval1_time_min_to_90_max_simfeat,False
ina_interval1_time_max_to_90_min_simfeat,False
ina_interval1_initial_val_simfeat,False
ina_interval1_max_val_simfeat,True
ina_interval1_min_val_simfeat,False
ina_interval2_time_to_90_recovery_simfeat,False
ina_interval2_recovery_start_val_simfeat,True
ina_interval2_final_val_simfeat,False
ina_interval2_max_val_simfeat,True
ina_interval2_min_val_simfeat,False
ica_interval1_time_to_90_max_simfeat,False
ica_interval1_time_to_90_min_simfeat,False
ica_interval1_time_min_to_90_max_simfeat,False
ica_interval1_time_max_to_90_min_simfeat,False
ica_interval1_initial_val_simfeat,False
ica_interval1_max_val_simfeat,False
ica_interval1_min_val_simfeat,False
ica_interval2_time_to_90_recovery_simfeat,False
ica_interval2_recovery_start_val_simfeat,True
ica_interval2_final_val_simfeat,False
ica_interval2_max_val_simfeat,False
ica_interval2_min_val_simfeat,False
type,False
subtype,False
