feature,gain,cover,weight
states_count,0.4505613148212433,15.593655586242676,132.0
clamp_yn,0.18248219788074493,21.887222290039062,1.0
suffix_yn,2.4767022132873535,17.00825309753418,185.0
point_process_yn,1.3794996738433838,15.29435920715332,106.0
net_receive_yn,0.13663595914840698,16.135053634643555,88.0
i_nonspecific_yn,0.8568651080131531,11.924847602844238,343.0
not_ion_channel_yn,0.40520185232162476,20.33498764038086,41.0
not_receptor_yn,0.7769922018051147,19.169227600097656,45.0
has_mg_yn,2.875159740447998,17.3737735748291,180.0
volt_max,0.573779284954071,8.491084098815918,2467.0
has_include_yn,0.5714147686958313,15.460476875305176,94.0
has_include_cap_yn,0.6861725449562073,19.883831024169922,97.0
read_ca_i_yn,2.1181538105010986,15.646658897399902,282.0
read_ca_o_yn,2.0108351707458496,17.527793884277344,113.0
read_e_ca_yn,3.4828755855560303,17.752561569213867,49.0
read_e_k_yn,1.4002635478973389,17.64715003967285,292.0
read_e_na_yn,4.248721122741699,18.003746032714844,138.0
read_e_other_yn,1.3303799629211426,15.231026649475098,37.0
read_i_cal_yn,1.4623972177505493,14.11144733428955,43.0
read_k_i_yn,0.5042935609817505,24.551067352294922,1.0
read_k_o_yn,1.5776941776275635,19.77774429321289,1.0
write_i_cal_yn,0.7858149409294128,12.81102466583252,261.0
write_i_k_yn,0.5141322016716003,10.192548751831055,206.0
write_i_na_yn,0.37598133087158203,6.628792762756348,79.0
write_i_other_yn,0.9052915573120117,12.980254173278809,56.0
v_interval1_initial_val_simfeat,1.078371286392212,10.218592643737793,396.0
v_interval1_max_val_simfeat,1.2019847631454468,10.824471473693848,405.0
v_interval2_time_to_90_recovery_simfeat,0.7781530618667603,10.736124038696289,125.0
v_interval2_recovery_start_val_simfeat,0.8313125371932983,9.925129890441895,232.0
v_interval2_final_val_simfeat,0.8824951648712158,8.296417236328125,519.0
v_interval2_min_val_simfeat,0.631664514541626,9.471883773803711,157.0
ik_interval1_time_to_90_max_simfeat,2.0915517807006836,13.020781517028809,236.0
ik_interval1_time_to_90_min_simfeat,2.430488109588623,13.190881729125977,30.0
ik_interval1_time_max_to_90_min_simfeat,2.35003662109375,22.37631607055664,85.0
ik_interval1_max_val_simfeat,0.5519040822982788,11.188642501831055,147.0
ik_interval1_min_val_simfeat,0.5654796957969666,9.89098834991455,188.0
ik_interval2_time_to_90_recovery_simfeat,0.4664479196071625,9.275198936462402,92.0
ik_interval2_max_val_simfeat,0.6961125135421753,8.326221466064453,83.0
ik_interval2_min_val_simfeat,0.7764521241188049,10.790579795837402,114.0
ina_interval1_time_to_90_max_simfeat,1.022398829460144,8.861576080322266,20.0
ina_interval1_time_to_90_min_simfeat,0.6793075203895569,12.380977630615234,88.0
ina_interval1_time_min_to_90_max_simfeat,0.4212745428085327,8.631270408630371,54.0
ina_interval1_time_max_to_90_min_simfeat,0.33049628138542175,9.092475891113281,13.0
ina_interval1_initial_val_simfeat,1.9675811529159546,15.720365524291992,73.0
ina_interval1_min_val_simfeat,2.185379981994629,15.126568794250488,43.0
ina_interval2_time_to_90_recovery_simfeat,0.6165487170219421,11.251768112182617,7.0
ina_interval2_final_val_simfeat,1.5140684843063354,11.63659954071045,49.0
ina_interval2_min_val_simfeat,0.4944262206554413,7.929494380950928,34.0
ica_interval1_time_to_90_max_simfeat,7.572373867034912,23.637353897094727,30.0
ica_interval1_time_to_90_min_simfeat,0.8593317866325378,11.336411476135254,12.0
ica_interval1_time_min_to_90_max_simfeat,4.485116481781006,19.416929244995117,7.0
ica_interval1_time_max_to_90_min_simfeat,0.5429387092590332,16.8509464263916,3.0
ica_interval1_initial_val_simfeat,2.236370801925659,14.76806640625,17.0
ica_interval1_max_val_simfeat,0.7029597163200378,5.114111423492432,3.0
ica_interval1_min_val_simfeat,0.46247461438179016,10.787612915039062,18.0
ica_interval2_time_to_90_recovery_simfeat,1.329586148262024,16.572877883911133,7.0
ica_interval2_final_val_simfeat,0.3352753818035126,12.857562065124512,11.0
ica_interval2_max_val_simfeat,0.19313257932662964,8.490608215332031,2.0
ica_interval2_min_val_simfeat,1.132665991783142,16.083547592163086,6.0
volt_min_na,0.9452782869338989,14.6642484664917,341.0
voltage_simfeat_na,4.939145565032959,16.297441482543945,263.0
ik_interval1_time_to_90_max_simfeat_na,4.330003261566162,14.875847816467285,37.0
ik_interval1_time_min_to_90_max_simfeat_na,4.408101558685303,24.244709014892578,39.0
ik_interval1_time_max_to_90_min_simfeat_na,15.64615249633789,29.443870544433594,36.0
ik_interval2_time_to_90_recovery_simfeat_na,6.9679179191589355,21.151248931884766,34.0
ina_interval1_time_to_90_max_simfeat_na,7.07451868057251,20.031110763549805,27.0
ina_interval1_time_max_to_90_min_simfeat_na,3.0938713550567627,19.749969482421875,16.0
ica_interval1_time_to_90_max_simfeat_na,0.763358473777771,8.467833518981934,87.0
ica_interval1_time_min_to_90_max_simfeat_na,0.6231232285499573,9.608936309814453,58.0
ica_interval1_time_max_to_90_min_simfeat_na,1.7695770263671875,15.115164756774902,93.0
