rater1,rater2,n,agree_n,disagree_n,disagree_pct,kappa,z,p_value
gpt_run1,gpt_run2,5133,4899,234,0.04558737580362361,0.9500029845311376,230.04040084433896,0
gpt_run1,gpt_h,5133,4713,420,0.08182349503214495,0.9102422978331475,221.57650401072536,0
gpt_run2,gpt_h,5133,4695,438,0.0853302162478083,0.906419360312897,220.84611001163842,0
gpt_h,gpt_mini_h,5133,4618,515,0.10033119033703487,0.8896391253106581,213.77504636307899,0
gpt_mini,gpt_mini_h,5132,4617,515,0.10035074045206548,0.889254950441739,207.98462963406888,0
gpt_run2,gpt_mini_h,5133,4546,587,0.1143580751996883,0.8742988194171332,209.7155435798813,0
gpt_run1,gpt_mini_h,5133,4542,591,0.11513734658094682,0.8734088172574459,209.30380753915543,0
gpt_run2,gpt_mini,5132,4539,593,0.11554949337490257,0.8729759278865887,208.22923859236852,0
gpt_run1,gpt_mini,5132,4527,605,0.11788776305533905,0.8703713221214152,207.40254457563483,0
gpt_h,gpt_mini,5132,4432,700,0.13639906469212781,0.8501838858932015,204.8936029508026,0
